"N","P","G","Iteration","Method","MAE","RMSE","MAPE"
1000,0.2,30,5,"HWI",0.000707456788804145,0.115857749415903,23.2006379887729
1000,0.2,30,5,"EWMA",0.000795567811517652,0.180017840727625,37.152937194914
1000,0.2,30,5,"LI",0.0430609951333534,0.198253491479821,37.7713116086448
1000,0.3,10,1,"HWI",0.0072915902068569,0.129899678034491,30.424300383382
1000,0.3,10,1,"EWMA",0.0146767124026472,0.217488001867158,53.3713720509685
1000,0.3,10,1,"LI",0.0161519910990393,0.234740364402569,57.6657880434082
1000,0.3,10,2,"HWI",0.00858283613704412,0.106505732046484,20.7927864298116
1000,0.3,10,2,"EWMA",0.0133370991663214,0.179904288412243,37.1825162384935
1000,0.3,10,2,"LI",0.00362964420664964,0.185244639781518,38.9572174463125
1000,0.3,10,3,"HWI",0.00115591318205339,0.106419995070029,20.2032892312339
1000,0.3,10,3,"EWMA",0.0103313055691575,0.179476585530591,36.0614661688788
1000,0.3,10,3,"LI",0.00595880764279645,0.179723637246593,35.7526736889898
1000,0.3,10,4,"HWI",7.18457841729231e-05,0.120847252397591,31.3169431273464
1000,0.3,10,4,"EWMA",0.0374731176835843,0.20163885470228,53.9243165491631
1000,0.3,10,4,"LI",0.0537383287112869,0.212343384698662,56.2992191617882
1000,0.3,10,5,"HWI",0.00208594251512479,0.108956373089538,21.966233589159
1000,0.3,10,5,"EWMA",0.0252738937402279,0.186433124278403,38.9438287042964
1000,0.3,10,5,"LI",0.0192017378240287,0.188247967306155,38.1584793934569
1000,0.3,20,1,"HWI",0.00289176071182647,0.114811011640628,19.2729192387178
1000,0.3,20,1,"EWMA",0.0174316891229338,0.201767219070998,33.6155167794247
1000,0.3,20,1,"LI",0.0056646058460875,0.217888015257721,36.8006245010386
1000,0.3,20,2,"HWI",0.0108098474682187,0.105981473114298,16.0639289402487
1000,0.3,20,2,"EWMA",0.00525552198814508,0.163253565252211,24.8261982159353
1000,0.3,20,2,"LI",0.0260689119488312,0.166347173076359,25.0945459859993
1000,0.3,20,3,"HWI",0.00489607531976543,0.118690178168628,19.8239043050011
1000,0.3,20,3,"EWMA",0.0271359917512928,0.198470553357293,35.7411377441074
1000,0.3,20,3,"LI",0.0266532015708966,0.199557158230828,35.8390657217262
1000,0.3,20,4,"HWI",0.00847230763270988,0.122897950805584,28.1316134315088
1000,0.3,20,4,"EWMA",0.0174076618749262,0.181777345179525,39.5870325074289
1000,0.3,20,4,"LI",0.0247571917142717,0.189646655638446,39.4567405225308
1000,0.3,20,5,"HWI",0.00489527175205768,0.116961676116227,23.3483148870384
1000,0.3,20,5,"EWMA",0.00668548997276477,0.177404061197492,37.8690724989313
1000,0.3,20,5,"LI",0.0177517271628095,0.204889382337465,40.9444196459528
1000,0.3,30,1,"HWI",0.0124772888402341,0.101804752351585,17.4649986969631
