"N","P","G","Iteration","Method","MAE","RMSE","MAPE"
1000,0.05,10,7,"NN",0.00784899927838416,0.158917371029188,30.7465544086076
1000,0.05,10,7,"EWMA",0.00362430778894003,0.171733873373165,32.7847401216983
1000,0.05,10,7,"LI",0.0114224457847123,0.17355913023709,33.4172953449615
1000,0.05,10,7,"KAF",0.503804306831945,0.522301825739631,96.3748697686267
1000,0.05,10,7,"RMEA",0.0231411966405052,0.148182149732953,28.8650801298266
1000,0.05,10,7,"NNI",0.030108491070111,0.166950061586685,31.1343582103376
1000,0.05,10,8,"NN",0.0662653770952785,0.310606376277638,67.8907712294647
1000,0.05,10,8,"EWMA",0.0408240699715342,0.210397713880875,46.3164858122305
1000,0.05,10,8,"LI",0.0511937618505581,0.242486855206928,52.3606705501414
1000,0.05,10,8,"KAF",0.476600011737394,0.504598590147366,99.9484680272588
1000,0.05,10,8,"RMEA",0.00675758000258127,0.16485986340476,38.2013447989153
1000,0.05,10,8,"NNI",0.0648218578013797,0.217155260061533,45.9922372384528
1000,0.05,10,9,"NN",0.0133015312566595,0.271199890144994,48.8823982072473
1000,0.05,10,9,"EWMA",0.00738397789162842,0.203757035716314,37.9577633469127
1000,0.05,10,9,"LI",0.0327607942333163,0.224170264628816,41.4879071080363
1000,0.05,10,9,"KAF",0.562004785353106,0.592702506920949,105.984786931499
1000,0.05,10,9,"RMEA",0.0144671203151047,0.180421896810127,30.6288974533751
1000,0.05,10,9,"NNI",0.0343028039708982,0.200478519375939,37.5261670847213
1000,0.05,10,10,"NN",0.0152815424890707,0.212200734640967,40.2560824782908
1000,0.05,10,10,"EWMA",0.0345058435359055,0.188181707828759,39.8652350462636
1000,0.05,10,10,"LI",0.0315319552978928,0.220132648819033,43.2993317806864
1000,0.05,10,10,"KAF",0.583004838616737,0.618883050721131,130.429844517067
1000,0.05,10,10,"RMEA",0.0407388142712355,0.166994744499388,36.9774287154235
1000,0.05,10,10,"NNI",0.0567563774130288,0.209777655162111,44.2559287294831
1000,0.05,25,1,"NN",0.0937441645311752,0.23807206424773,36.9617987481687
1000,0.05,25,1,"EWMA",0.00792539806819136,0.172596190706704,26.2660086154861
1000,0.05,25,1,"LI",0.022199494252431,0.152815626885063,21.4913570335098
1000,0.05,25,1,"KAF",0.541366636937187,0.561555967771079,98.5268387228451
1000,0.05,25,1,"RMEA",0.028100078956296,0.147556927400744,21.8239252397618
1000,0.05,25,1,"NNI",0.112826076079114,0.186373810599572,33.9791828855022
1000,0.05,25,2,"NN",0.0484875280129033,0.164872102803352,35.5466822136341
1000,0.05,25,2,"EWMA",0.0560255889207333,0.18808853155066,35.9894658138975
1000,0.05,25,2,"LI",0.0444248045337417,0.170278420337047,33.4405656544893
1000,0.05,25,2,"KAF",0.492888813300834,0.514688458317454,98.247585741777
1000,0.05,25,2,"RMEA",0.00692693267193417,0.138890952051585,30.0295505212636
1000,0.05,25,2,"NNI",0.0150189151877264,0.148775829060424,31.2866666441063
1000,0.05,25,3,"NN",0.0498292189012405,0.199688696012375,40.9786264168822
1000,0.05,25,3,"EWMA",0.00348213439349381,0.181022393115685,40.5596714706243
1000,0.05,25,3,"LI",0.0467370791383072,0.221838990849735,46.2688517015057
1000,0.05,25,3,"KAF",0.596871414518494,0.621723691243744,127.544148075205
1000,0.05,25,3,"RMEA",0.00536090413962526,0.149386526646267,32.9669291569302
1000,0.05,25,3,"NNI",0.0382852027715715,0.2050735715179,43.8141778156591
1000,0.05,25,4,"NN",0.151557562489439,0.249952892242107,40.5566485725956
1000,0.05,25,4,"EWMA",0.051682124664072,0.22327863004764,38.7717118022958
1000,0.05,25,4,"LI",0.0418604868821371,0.202124206914924,36.4854697986986
1000,0.05,25,4,"KAF",0.98131083859047,1.01274460548033,209.173520880352
1000,0.05,25,4,"RMEA",0.0057407442219844,0.154491228603551,30.3297629274051
1000,0.05,25,4,"NNI",0.0504092211621842,0.183035375046714,31.380784411226
1000,0.05,25,5,"NN",0.171895991229953,0.226772304231681,50.6191019758272
1000,0.05,25,5,"EWMA",0.0594055434213263,0.178384526353503,37.2023818108878
1000,0.05,25,5,"LI",0.126348480002753,0.204609959647228,45.3858162541523
1000,0.05,25,5,"KAF",0.500304656147064,0.530602820675944,103.276751885624
1000,0.05,25,5,"RMEA",0.0118336721710922,0.149071755697972,26.2526923765477
1000,0.05,25,5,"NNI",0.143613146267722,0.205958336419295,46.2263530870041
1000,0.05,25,6,"NN",0.066612224571884,0.156186966772892,35.002378323313
1000,0.05,25,6,"EWMA",0.0872952377292669,0.177631147856127,39.0068696653579
1000,0.05,25,6,"LI",0.0742857189640801,0.164732266204828,36.6726766921585
1000,0.05,25,6,"KAF",0.473682689012834,0.494316830123341,96.0913626868836
1000,0.05,25,6,"RMEA",0.0414535825925787,0.143488020131558,26.7440608207962
1000,0.05,25,6,"NNI",0.0962234382811284,0.166510845900406,37.1879024766502
1000,0.05,25,7,"NN",0.0808004866547326,0.219239718662053,40.9367854667527
1000,0.05,25,7,"EWMA",0.00830318011579181,0.1895635126077,38.9001554330725
1000,0.05,25,7,"LI",0.0483033971876326,0.193681394675952,36.1183980646248
1000,0.05,25,7,"KAF",0.497563696015249,0.522359571893873,100
1000,0.05,25,7,"RMEA",0.0134768323758429,0.159597981715566,34.4374629631926
1000,0.05,25,7,"NNI",0.0239634026173453,0.168653519638408,33.1123253347974
1000,0.05,25,8,"NN",0.112508475352819,0.223021603087543,32.5808970947453
1000,0.05,25,8,"EWMA",0.0289564119580837,0.191657981070983,33.336114210938
1000,0.05,25,8,"LI",0.0743485367488319,0.202567875328591,31.4879299147142
1000,0.05,25,8,"KAF",0.549140712363283,0.579060315497486,106.522461112539
1000,0.05,25,8,"RMEA",0.00798304052053674,0.173289987544126,30.4007098290615
1000,0.05,25,8,"NNI",0.118557254565465,0.206848571467553,30.1332983500865
1000,0.05,25,9,"NN",0.0531466324293155,0.179404166618824,36.7064975613907
1000,0.05,25,9,"EWMA",0.0749673196526801,0.179508450322019,40.7463266743064
1000,0.05,25,9,"LI",0.0686390805957286,0.171369869641427,37.4846275516773
1000,0.05,25,9,"KAF",0.846209491954256,0.867805093418219,178.180413824045
1000,0.05,25,9,"RMEA",0.0145118852608074,0.15130261501844,30.7089757441846
1000,0.05,25,9,"NNI",0.0427865418572671,0.149184463463515,32.0159208864591
1000,0.05,25,10,"NN",0.0271502163722236,0.16369704608506,39.1095938452536
1000,0.05,25,10,"EWMA",0.0424081683888198,0.172255919829848,38.1162014096864
1000,0.05,25,10,"LI",0.0672218419272414,0.177211866455793,37.2587241363646
1000,0.05,25,10,"KAF",0.496891955143011,0.523301863875533,97.8229874889054
1000,0.05,25,10,"RMEA",0.00773022417741627,0.16142137702249,40.6308187307106
1000,0.05,25,10,"NNI",0.0799775663069592,0.169457866055037,34.7369935006799
1000,0.05,50,1,"NN",0.245614701445858,0.314566992312796,51.5148349053594
1000,0.05,50,1,"EWMA",0.0243605031733572,0.290930680205507,59.3956823935897
1000,0.05,50,1,"LI",0.004173939747125,0.248189697485996,54.347938226932
1000,0.05,50,1,"KAF",0.589330517211504,0.620485170914201,116.351711941625
1000,0.05,50,1,"RMEA",0.0193830170823885,0.169923046740235,36.7737366516455
1000,0.05,50,1,"NNI",0.00070696087872699,0.216472129048471,47.7200347007508
