"N","P","G","Iteration","Method","MAE","RMSE","MAPE"
1000,0.3,10,4,"NNI",0.00340806353578701,0.210202784275346,37.162954528222
1000,0.3,10,5,"HWI",0.00147899690746427,0.157080446941804,27.9205063054813
1000,0.3,10,5,"EWMA",0.0106398295137172,0.172262292604117,29.9336310553376
1000,0.3,10,5,"LI",0.000702666116783019,0.18556778040168,32.4763448992829
1000,0.3,10,5,"NNI",0.0475258919545515,0.161459217985569,26.5256995825499
1000,0.3,20,1,"HWI",0.00579422017578414,0.149904520049746,30.5549060431684
1000,0.3,20,1,"EWMA",0.0118101698645441,0.178602182134814,36.561072961383
1000,0.3,20,1,"LI",0.0206346098926865,0.17076608216938,35.6933594390613
1000,0.3,20,1,"NNI",0.0455832116506645,0.176983475139259,37.9650152971347
1000,0.3,20,2,"HWI",0.00627225985366232,0.136276527933469,24.1717535967467
1000,0.3,20,2,"EWMA",0.0153523214256116,0.163968218289825,28.6305961978197
1000,0.3,20,2,"LI",0.0354658626770276,0.181867327743639,30.9462239225665
1000,0.3,20,2,"NNI",0.0219374131274947,0.144356130309005,25.00382618085
1000,0.3,20,3,"HWI",0.011228418639181,0.174934348906618,38.1482350834741
1000,0.3,20,3,"EWMA",0.0176368686264046,0.202173168771225,42.828524200038
1000,0.3,20,3,"LI",0.0272544782462477,0.203760828686731,41.6682603880978
1000,0.3,20,3,"NNI",0.0101605351495349,0.196748876238874,44.0140749308193
1000,0.3,20,4,"HWI",0.00816956821558043,0.14649132623346,27.9837157207474
1000,0.3,20,4,"EWMA",0.0418854574466452,0.179833577110192,31.6578151810332
1000,0.3,20,4,"LI",0.0722460037841036,0.194201731072293,32.6522290056298
1000,0.3,20,4,"NNI",0.0726050235607956,0.192010735737279,32.7194167960799
1000,0.3,20,5,"HWI",0.00397075765543044,0.164396889882166,41.4019439820419
1000,0.3,20,5,"EWMA",0.0359659508615495,0.193847892048148,48.3680351402888
1000,0.3,20,5,"LI",0.0204550876590522,0.210861266288978,51.3697239965341
1000,0.3,20,5,"NNI",0.0499202116772666,0.208945844564495,52.8859718011192
