"N","P","G","Iteration","Method","max_iter","K","n_series","random","method","Modulus","Argument","MAE","RMSE","MAPE"
1000,0.1,10,2,"NNI",25,5,60,"FALSE","all",0.05,0.523598775598299,0.0115855342439646,0.166878192163586,61.1077158507108
1000,0.1,10,2,"NNI",25,5,100,"FALSE","all",0.05,0.523598775598299,0.0396017745129103,0.170097975032077,57.5953827652704
1000,0.1,10,2,"NNI",25,10,10,"FALSE","all",0.05,0.523598775598299,0.0207007882841592,0.1652140124342,63.3602565984567
1000,0.1,10,2,"NNI",25,10,30,"FALSE","all",0.05,0.523598775598299,0.0209272348054414,0.164899638729623,65.0091874883339
1000,0.1,10,2,"NNI",25,10,50,"FALSE","all",0.05,0.523598775598299,0.0109495961256986,0.172554080841908,69.4097076143435
1000,0.1,10,3,"NNI",10,5,20,"TRUE","noise",0.05,0.523598775598299,0.0799230877810643,0.17802063298047,43.6311331666312
1000,0.1,10,3,"NNI",10,5,60,"TRUE","noise",0.05,0.523598775598299,0.0838767267668173,0.175918903194973,44.1858735724583
1000,0.1,10,3,"NNI",10,5,100,"TRUE","noise",0.05,0.523598775598299,0.0905297205203698,0.172366053970922,44.3838316425898
1000,0.1,10,3,"NNI",10,10,10,"TRUE","noise",0.05,0.523598775598299,0.0703511540347264,0.174747174997112,42.9927621812889
1000,0.1,10,3,"NNI",10,10,30,"TRUE","noise",0.05,0.523598775598299,0.0840280384027884,0.181386969132838,45.7304162223492
1000,0.1,10,3,"NNI",10,10,50,"TRUE","noise",0.05,0.523598775598299,0.0866222083175109,0.176615006674004,44.5029867887754
1000,0.1,10,3,"NNI",25,5,20,"TRUE","noise",0.05,0.523598775598299,0.132341024678342,0.198765120697735,53.7874191672501
1000,0.1,10,3,"NNI",25,5,60,"TRUE","noise",0.05,0.523598775598299,0.126944476270072,0.188108406444111,51.4715028146312
1000,0.1,10,3,"NNI",25,5,100,"TRUE","noise",0.05,0.523598775598299,0.125901840602748,0.187905063537993,51.7214616362619
1000,0.1,10,3,"NNI",25,10,10,"TRUE","noise",0.05,0.523598775598299,0.122697078936689,0.195165401135214,53.062256182781
1000,0.1,10,3,"NNI",25,10,30,"TRUE","noise",0.05,0.523598775598299,0.134927438002221,0.194489165895704,53.9074128982888
1000,0.1,10,3,"NNI",25,10,50,"TRUE","noise",0.05,0.523598775598299,0.129437037228935,0.190415639281428,52.4275569392863
1000,0.1,10,3,"NNI",10,5,20,"FALSE","noise",0.05,0.523598775598299,0.0921613194996045,0.170057704989836,45.9661773003474
1000,0.1,10,3,"NNI",10,5,60,"FALSE","noise",0.05,0.523598775598299,0.0884402077549622,0.169627743635094,45.129424227971
1000,0.1,10,3,"NNI",10,5,100,"FALSE","noise",0.05,0.523598775598299,0.0605292377525494,0.17062354681043,42.4539521782068
1000,0.1,10,3,"NNI",10,10,10,"FALSE","noise",0.05,0.523598775598299,0.0928710625821278,0.166764864615782,45.7845636138841
1000,0.1,10,3,"NNI",10,10,30,"FALSE","noise",0.05,0.523598775598299,0.0951016378158257,0.163887473205666,44.7184113766711
1000,0.1,10,3,"NNI",10,10,50,"FALSE","noise",0.05,0.523598775598299,0.0935624467039034,0.173498075780486,45.3083778693104
1000,0.1,10,3,"NNI",25,5,20,"FALSE","noise",0.05,0.523598775598299,0.0936723281675503,0.166430219870828,45.4231700928558
1000,0.1,10,3,"NNI",25,5,60,"FALSE","noise",0.05,0.523598775598299,0.115757201367013,0.185089613367363,51.3448767461613
1000,0.1,10,3,"NNI",25,5,100,"FALSE","noise",0.05,0.523598775598299,0.139623260646455,0.202543115077516,56.230693870116
1000,0.1,10,3,"NNI",25,10,10,"FALSE","noise",0.05,0.523598775598299,0.0942750539594815,0.162979878679264,44.6132910599557
1000,0.1,10,3,"NNI",25,10,30,"FALSE","noise",0.05,0.523598775598299,0.0947215877944157,0.164342106310994,45.0400726233767
1000,0.1,10,3,"NNI",25,10,50,"FALSE","noise",0.05,0.523598775598299,0.114075630151622,0.180128556910908,49.9038112379414
1000,0.1,10,3,"NNI",10,5,20,"TRUE","all",0.05,0.523598775598299,0.088683609654896,0.175557927314334,44.7794737998722
1000,0.1,10,3,"NNI",10,5,60,"TRUE","all",0.05,0.523598775598299,0.0922267143779919,0.176184510750634,45.1714331043533
1000,0.1,10,3,"NNI",10,5,100,"TRUE","all",0.05,0.523598775598299,0.0851532087826655,0.174840336623382,44.2821702901456
1000,0.1,10,3,"NNI",10,10,10,"TRUE","all",0.05,0.523598775598299,0.104079407801621,0.181168679305138,47.3794303319421
1000,0.1,10,3,"NNI",10,10,30,"TRUE","all",0.05,0.523598775598299,0.0861710446977541,0.177262477083028,44.835204348339
1000,0.1,10,3,"NNI",10,10,50,"TRUE","all",0.05,0.523598775598299,0.0799328830891774,0.175869635558779,44.1874821620128
1000,0.1,10,3,"NNI",25,5,20,"TRUE","all",0.05,0.523598775598299,0.139396984415643,0.203812233663126,55.6891471125073
1000,0.1,10,3,"NNI",25,5,60,"TRUE","all",0.05,0.523598775598299,0.136152724825732,0.196389554652113,54.6474203783564
1000,0.1,10,3,"NNI",25,5,100,"TRUE","all",0.05,0.523598775598299,0.133808710330121,0.192256702571436,53.7798935017858
1000,0.1,10,3,"NNI",25,10,10,"TRUE","all",0.05,0.523598775598299,0.118393285452716,0.185531537112394,50.072381700533
1000,0.1,10,3,"NNI",25,10,30,"TRUE","all",0.05,0.523598775598299,0.134565849673145,0.194237422929069,53.5534448593201
1000,0.1,10,3,"NNI",25,10,50,"TRUE","all",0.05,0.523598775598299,0.126879634409539,0.187426131508295,51.8095040754967
1000,0.1,10,3,"NNI",10,5,20,"FALSE","all",0.05,0.523598775598299,0.0877105500453637,0.159255344199806,43.1582394430185
1000,0.1,10,3,"NNI",10,5,60,"FALSE","all",0.05,0.523598775598299,0.094988128354542,0.175786816967825,47.357842729907
1000,0.1,10,3,"NNI",10,5,100,"FALSE","all",0.05,0.523598775598299,0.0723336340838597,0.177188459899242,44.6511442542316
1000,0.1,10,3,"NNI",10,10,10,"FALSE","all",0.05,0.523598775598299,0.0936584822291062,0.165678552431366,44.906400054854
1000,0.1,10,3,"NNI",10,10,30,"FALSE","all",0.05,0.523598775598299,0.0951951167637036,0.167708879653867,45.7885638815041
1000,0.1,10,3,"NNI",10,10,50,"FALSE","all",0.05,0.523598775598299,0.11042299508094,0.182238273795927,49.4168461629659
1000,0.1,10,3,"NNI",25,5,20,"FALSE","all",0.05,0.523598775598299,0.0915746992760823,0.163229912029026,44.8200277454611
1000,0.1,10,3,"NNI",25,5,60,"FALSE","all",0.05,0.523598775598299,0.130974849026792,0.187547069351337,52.1597612042859
1000,0.1,10,3,"NNI",25,5,100,"FALSE","all",0.05,0.523598775598299,0.151364779644601,0.201793212828489,56.3216420449938
1000,0.1,10,3,"NNI",25,10,10,"FALSE","all",0.05,0.523598775598299,0.0935415336304829,0.165510501327408,45.1965874750679
1000,0.1,10,3,"NNI",25,10,30,"FALSE","all",0.05,0.523598775598299,0.0959522985392735,0.167610926811929,45.7192377487423
1000,0.1,10,3,"NNI",25,10,50,"FALSE","all",0.05,0.523598775598299,0.119205133681886,0.186443750941715,51.2066685507509
1000,0.1,10,4,"NNI",10,5,20,"TRUE","noise",0.05,0.523598775598299,0.0542116892935818,0.231727784632195,40.4944400170619
1000,0.1,10,4,"NNI",10,5,60,"TRUE","noise",0.05,0.523598775598299,0.0541674211548751,0.230599833169456,41.2815104836565
1000,0.1,10,4,"NNI",10,5,100,"TRUE","noise",0.05,0.523598775598299,0.0371752629207557,0.226905700210501,40.081262168029
1000,0.1,10,4,"NNI",10,10,10,"TRUE","noise",0.05,0.523598775598299,0.0307473017798846,0.232920880899734,41.6723713268623
1000,0.1,10,4,"NNI",10,10,30,"TRUE","noise",0.05,0.523598775598299,0.0459289934488123,0.225990084579312,40.208670632043
1000,0.1,10,4,"NNI",10,10,50,"TRUE","noise",0.05,0.523598775598299,0.0351769245641416,0.215594896079785,38.3377100156958
1000,0.1,10,4,"NNI",25,5,20,"TRUE","noise",0.05,0.523598775598299,0.0467463120119756,0.211892028805876,36.2963001223612
1000,0.1,10,4,"NNI",25,5,60,"TRUE","noise",0.05,0.523598775598299,0.0741667826848214,0.21286535944047,37.3875621066142
1000,0.1,10,4,"NNI",25,5,100,"TRUE","noise",0.05,0.523598775598299,0.0876606217818444,0.238800873331822,41.2911211478819
1000,0.1,10,4,"NNI",25,10,10,"TRUE","noise",0.05,0.523598775598299,0.0981203659208601,0.245165434529611,40.0146370172431
1000,0.1,10,4,"NNI",25,10,30,"TRUE","noise",0.05,0.523598775598299,0.0629297622518724,0.204398459325625,37.0824934392107
1000,0.1,10,4,"NNI",25,10,50,"TRUE","noise",0.05,0.523598775598299,0.0808864592420047,0.214783066656343,36.8038908366408
1000,0.1,10,4,"NNI",10,5,20,"FALSE","noise",0.05,0.523598775598299,0.0329993802385515,0.175137898083487,32.4183480311369
1000,0.1,10,4,"NNI",10,5,60,"FALSE","noise",0.05,0.523598775598299,0.049577860824961,0.185990377520913,33.1240237747745
1000,0.1,10,4,"NNI",10,5,100,"FALSE","noise",0.05,0.523598775598299,0.031220523260731,0.197862504429492,35.3135692803509
1000,0.1,10,4,"NNI",10,10,10,"FALSE","noise",0.05,0.523598775598299,0.0373740255313104,0.171014928538681,31.7699431585925
1000,0.1,10,4,"NNI",10,10,30,"FALSE","noise",0.05,0.523598775598299,0.0358507292645162,0.17156303823276,32.2732801995225
1000,0.1,10,4,"NNI",10,10,50,"FALSE","noise",0.05,0.523598775598299,0.0564956483917421,0.183346037371089,32.7230053472805
1000,0.1,10,4,"NNI",25,5,20,"FALSE","noise",0.05,0.523598775598299,0.0362169239239877,0.166534952008482,30.4068153499908
1000,0.1,10,4,"NNI",25,5,60,"FALSE","noise",0.05,0.523598775598299,0.0526586568551248,0.171970736559269,31.1917669055092
1000,0.1,10,4,"NNI",25,5,100,"FALSE","noise",0.05,0.523598775598299,0.0550563782291597,0.177851787229883,30.7907305464598
1000,0.1,10,4,"NNI",25,10,10,"FALSE","noise",0.05,0.523598775598299,0.036555007375974,0.167205649293742,30.5271807977659
1000,0.1,10,4,"NNI",25,10,30,"FALSE","noise",0.05,0.523598775598299,0.0332353714304155,0.169197793708447,31.6376386934788
1000,0.1,10,4,"NNI",25,10,50,"FALSE","noise",0.05,0.523598775598299,0.042645811917085,0.178150519989618,32.8290055386486
1000,0.1,10,4,"NNI",10,5,20,"TRUE","all",0.05,0.523598775598299,0.0606463109703844,0.258882059068701,44.8681769000761
1000,0.1,10,4,"NNI",10,5,60,"TRUE","all",0.05,0.523598775598299,0.0630975378753727,0.252604874030846,43.9580587262205
